 keyword	Units	Component	Description	Internal
IMP_STEER_L5	deg	Steering	Road wheel L5 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_L6	deg	Steering	Road wheel L6 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_R1	deg	Steering	Road wheel R1 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_R2	deg	Steering	Road wheel R2 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_R3	deg	Steering	Road wheel R3 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_R4	deg	Steering	Road wheel R4 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_R5	deg	Steering	Road wheel R5 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_R6	deg	Steering	Road wheel R6 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_RACK_CON_L1	mm	Steering	Steering rack position for wheel L1 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_L2	mm	Steering	Steering rack position for wheel L2 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_L3	mm	Steering	Steering rack position for wheel L3 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_L4	mm	Steering	Steering rack position for wheel L4 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_L5	mm	Steering	Steering rack position for wheel L5 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_L6	mm	Steering	Steering rack position for wheel L6 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_R1	mm	Steering	Steering rack position for wheel R1 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_R2	mm	Steering	Steering rack position for wheel R2 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_R3	mm	Steering	Steering rack position for wheel R3 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_R4	mm	Steering	Steering rack position for wheel R4 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_R5	mm	Steering	Steering rack position for wheel R5 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_RACK_CON_R6	mm	Steering	Steering rack position for wheel R6 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_SW	deg	Steering	Steering wheel angle	VARIABLE
IMP_STEER_T_IN	N-m	Steering	Steering input torque (driver model torque option or open loop)	VARIABLE
IMP_S_OBJ_1	m	Targets	Station of object 1	0
IMP_S_OBJ_10	m	Targets	Station of object 10	0
IMP_S_OBJ_2	m	Targets	Station of object 2	0
IMP_S_OBJ_3	m	Targets	Station of object 3	0
IMP_S_OBJ_4	m	Targets	Station of object 4	0
IMP_S_OBJ_5	m	Targets	Station of object 5	0
IMP_S_OBJ_6	m	Targets	Station of object 6	0
IMP_S_OBJ_7	m	Targets	Station of object 7	0
IMP_S_OBJ_8	m	Targets	Station of object 8	0
IMP_S_OBJ_9	m	Targets	Station of object 9	0
IMP_TEMP_BTTRY	C	Powertrain	Battery Temperature	VARIABLE
IMP_THROTTLE_ENGINE	-	Powertrain	Open loop throttle control	VARIABLE
IMP_TYPE_OBJ_1	-	Targets	Type code of object 1	0
IMP_TYPE_OBJ_10	-	Targets	Type code of object 10	0
IMP_TYPE_OBJ_2	-	Targets	Type code of object 2	0
IMP_TYPE_OBJ_3	-	Targets	Type code of object 3	0
IMP_TYPE_OBJ_4	-	Targets	Type code of object 4	0
IMP_TYPE_OBJ_5	-	Targets	Type code of object 5	0
IMP_TYPE_OBJ_6	-	Targets	Type code of object 6	0
IMP_TYPE_OBJ_7	-	Targets	Type code of object 7	0
IMP_TYPE_OBJ_8	-	Targets	Type code of object 8	0
IMP_TYPE_OBJ_9	-	Targets	Type code of object 9	0
IMP_VIS_OBJ_1	-	Targets	Visibility of object 1	0
IMP_VIS_OBJ_10	-	Targets	Visibility of object 10	0
IMP_VIS_OBJ_2	-	Targets	Visibility of object 2	0
IMP_VIS_OBJ_3	-	Targets	Visibility of object 3	0
IMP_VIS_OBJ_4	-	Targets	Visibility of object 4	0
IMP_VIS_OBJ_5	-	Targets	Visibility of object 5	0
IMP_VIS_OBJ_6	-	Targets	Visibility of object 6	0
IMP_VIS_OBJ_7	-	Targets	Visibility of object 7	0
IMP_VIS_OBJ_8	-	Targets	Visibility of object 8	0
IMP_VIS_OBJ_9	-	Targets	Visibility of object 9	0
IMP_V_OBJ_1	km/h	Targets	V speed of object 1	0
IMP_V_OBJ_10	km/h	Targets	V speed of object 10	0
IMP_V_OBJ_2	km/h	Targets	V speed of object 2	0
IMP_V_OBJ_3	km/h	Targets	V speed of object 3	0
IMP_V_OBJ_4	km/h	Targets	V speed of object 4	0
IMP_V_OBJ_5	km/h	Targets	V speed of object 5	0
IMP_V_OBJ_6	km/h	Targets	V speed of object 6	0
IMP_V_OBJ_7	km/h	Targets	V speed of object 7	0
IMP_V_OBJ_8	km/h	Targets	V speed of object 8	0
IMP_V_OBJ_9	km/h	Targets	V speed of object 9	0
IMP_WIND_HEADING	deg	Aerodynamics	Heading (yaw) angle of wind relative to global X: when vehicle yaw is zero, then 0 deg -> tailwind, 90 deg -> from right, 180 deg -> headwind	VARIABLE
IMP_WIND_SPEED	km/h	Aerodynamics	Absolute wind speed	VARIABLE
IMP_XDMP_EXT_L1	mm	Suspensions	Compression of damper L1	VARIABLE
IMP_XDMP_EXT_L2	mm	Suspensions	Compression of damper L2	VARIABLE
IMP_XDMP_EXT_L3	mm	Suspensions	Compression of damper L3	VARIABLE
IMP_XDMP_EXT_L4	mm	Suspensions	Compression of damper L4	VARIABLE
IMP_XDMP_EXT_L5	mm	Suspensions	Compression of damper L5	VARIABLE
IMP_XDMP_EXT_L6	mm	Suspensions	Compression of damper L6	VARIABLE
IMP_XDMP_EXT_R1	mm	Suspensions	Compression of damper R1	VARIABLE
IMP_XDMP_EXT_R2	mm	Suspensions	Compression of damper R2	VARIABLE
IMP_XDMP_EXT_R3	mm	Suspensions	Compression of damper R3	VARIABLE
IMP_XDMP_EXT_R4	mm	Suspensions	Compression of damper R4	VARIABLE
IMP_XDMP_EXT_R5	mm	Suspensions	Compression of damper R5	VARIABLE
IMP_XDMP_EXT_R6	mm	Suspensions	Compression of damper R6	VARIABLE
IMP_XJST_EXT_L1	mm	Suspensions	Compression for jounce stop L1	VARIABLE
IMP_XJST_EXT_L2	mm	Suspensions	Compression for jounce stop L2	VARIABLE
IMP_XJST_EXT_L3	mm	Suspensions	Compression for jounce stop L3	VARIABLE
IMP_XJST_EXT_L4	mm	Suspensions	Compression for jounce stop L4	VARIABLE
IMP_XJST_EXT_L5	mm	Suspensions	Compression for jounce stop L5	VARIABLE
IMP_XJST_EXT_L6	mm	Suspensions	Compression for jounce stop L6	VARIABLE
IMP_XJST_EXT_R1	mm	Suspensions	Compression for jounce stop R1	VARIABLE
IMP_XJST_EXT_R2	mm	Suspensions	Compression for jounce stop R2	VARIABLE
IMP_XJST_EXT_R3	mm	Suspensions	Compression for jounce stop R3	VARIABLE
IMP_XJST_EXT_R4	mm	Suspensions	Compression for jounce stop R4	VARIABLE
IMP_XJST_EXT_R5	mm	Suspensions	Compression for jounce stop R5	VARIABLE
IMP_XJST_EXT_R6	mm	Suspensions	Compression for jounce stop R6	VARIABLE
IMP_XRST_EXT_L1	mm	Suspensions	Compression for rebound stop L1	VARIABLE
IMP_XRST_EXT_L2	mm	Suspensions	Compression for rebound stop L2	VARIABLE
IMP_XRST_EXT_L3	mm	Suspensions	Compression for rebound stop L3	VARIABLE
IMP_XRST_EXT_L4	mm	Suspensions	Compression for rebound stop L4	VARIABLE
IMP_XRST_EXT_L5	mm	Suspensions	Compression for rebound stop L5	VARIABLE
IMP_XRST_EXT_L6	mm	Suspensions	Compression for rebound stop L6	VARIABLE
IMP_XRST_EXT_R1	mm	Suspensions	Compression for rebound stop R1	VARIABLE
IMP_XRST_EXT_R2	mm	Suspensions	Compression for rebound stop R2	VARIABLE
IMP_XRST_EXT_R3	mm	Suspensions	Compression for rebound stop R3	VARIABLE
IMP_XRST_EXT_R4	mm	Suspensions	Compression for rebound stop R4	VARIABLE
IMP_XRST_EXT_R5	mm	Suspensions	Compression for rebound stop R5	VARIABLE
IMP_XRST_EXT_R6	mm	Suspensions	Compression for rebound stop R6	VARIABLE
IMP_X_OBJ_1	m	Targets	X coordinate of object 1	0
IMP_X_OBJ_10	m	Targets	X coordinate of object 10	0
IMP_X_OBJ_2	m	Targets	X coordinate of object 2	0
IMP_X_OBJ_3	m	Targets	X coordinate of object 3	0
IMP_X_OBJ_4	m	Targets	X coordinate of object 4	0
IMP_X_OBJ_5	m	Targets	X coordinate of object 5	0
IMP_X_OBJ_6	m	Targets	X coordinate of object 6	0
IMP_X_OBJ_7	m	Targets	X coordinate of object 7	0
IMP_X_OBJ_8	m	Targets	X coordinate of object 8	0
IMP_X_OBJ_9	m	Targets	X coordinate of object 9	0
IMP_YAW_OBJ_1	deg	Targets	Yaw angle of object 1	0
IMP_YAW_OBJ_10	deg	Targets	Yaw angle of object 10	0
IMP_YAW_OBJ_2	deg	Targets	Yaw angle of object 2	0
IMP_YAW_OBJ_3	deg	Targets	Yaw angle of object 3	0
IMP_YAW_OBJ_4	deg	Targets	Yaw angle of object 4	0
IMP_YAW_OBJ_5	deg	Targets	Yaw angle of object 5	0
IMP_YAW_OBJ_6	deg	Targets	Yaw angle of object 6	0
IMP_YAW_OBJ_7	deg	Targets	Yaw angle of object 7	0
IMP_YAW_OBJ_8	deg	Targets	Yaw angle of object 8	0
IMP_YAW_OBJ_9	deg	Targets	Yaw angle of object 9	0
IMP_Y_OBJ_1	m	Targets	Y coordinate of object 1	0
IMP_Y_OBJ_10	m	Targets	Y coordinate of object 10	0
IMP_Y_OBJ_2	m	Targets	Y coordinate of object 2	0
IMP_Y_OBJ_3	m	Targets	Y coordinate of object 3	0
IMP_Y_OBJ_4	m	Targets	Y coordinate of object 4	0
IMP_Y_OBJ_5	m	Targets	Y coordinate of object 5	0
IMP_Y_OBJ_6	m	Targets	Y coordinate of object 6	0
IMP_Y_OBJ_7	m	Targets	Y coordinate of object 7	0
IMP_Y_OBJ_8	m	Targets	Y coordinate of object 8	0
IMP_Y_OBJ_9	m	Targets	Y coordinate of object 9	0
IMP_ZGND_L1I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L1O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L2I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L2O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L3I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L3O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L4I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L4O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L5I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L5O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L6I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L6O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R1I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R1O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R2I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R2O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R3I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R3O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R4I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R4O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R5I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R5O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R6I	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R6O	m	Tires	Z coordinate of ground at the tire CTC	VARIABLE
IMP_Z_OBJ_1	m	Targets	Z coordinate of object 1	0
IMP_Z_OBJ_10	m	Targets	Z coordinate of object 10	0
IMP_Z_OBJ_2	m	Targets	Z coordinate of object 2	0
IMP_Z_OBJ_3	m	Targets	Z coordinate of object 3	0
IMP_Z_OBJ_4	m	Targets	Z coordinate of object 4	0
IMP_Z_OBJ_5	m	Targets	Z coordinate of object 5	0
IMP_Z_OBJ_6	m	Targets	Z coordinate of object 6	0
IMP_Z_OBJ_7	m	Targets	Z coordinate of object 7	0
IMP_Z_OBJ_8	m	Targets	Z coordinate of object 8	0
IMP_Z_OBJ_9	m	Targets	Z coordinate of object 9	0
